#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
guardian_of_faith_christian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_dreamtime_religion_desc;He's one of the heralds of the Dreamtime religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi Dreamtime (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Dreamtime religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Dreamtime religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_animism;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_animism_desc;He's one of the heralds of the Animist religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi Animist (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Animist religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Animist religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_inti;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_inti_desc;He's one of the heralds of the Inti religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi Inti (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Inti religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Inti religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_south_american;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_south_american_desc;He's one of the heralds of the South American religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi South American (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the South American religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the South American religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_maori_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_maori_religion_desc;He's one of the heralds of the Maori religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi Maori (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Maori religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Maori religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_tuniit_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_tuniit_pagan_desc;He's one of the heralds of the High Arctic religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi High Arctic (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the High Arctic religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the High Arctic religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_hindu;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_hindu_desc;He's one of the heralds of the Hindu religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi hindoue (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Hindu religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Hindu religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_buddhist;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_buddhist_desc;He's one of the heralds of the Buddhist religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi bouddhiste (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Buddhist religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Buddhist religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_jain;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_jain_desc;He's one of the heralds of the Jain religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi jaïne (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Jain religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Jain religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_bon;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_bon_desc;He's one of the heralds of the Bön religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi bön (réformée ou non), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Bön religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Bön religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_taoist;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_taoist_desc;He's one of the heralds of the Taoist religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi taoïste, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Taoist religion, and he will defend it at all costs. ;;He's one of the heralds of the Taoist religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_nat;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_nat_desc;He's one of the heralds of the Nat religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Nat, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Nat religion, and he will defend it at all costs. ;;He's one of the heralds of the Nat religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_sastsana_phi;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_sastsana_phi_desc;He's one of the heralds of the Sastsana Phi religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Sastsana Phi, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Sastsana Phi religion, and he will defend it at all costs. ;;He's one of the heralds of the Sastsana Phi religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_rmagao;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_rmagao_desc;He's one of the heralds of the Rmagao religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Rmagao, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Rmagao religion, and he will defend it at all costs. ;;He's one of the heralds of the Rmagao religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_shenjiao;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_shenjiao_desc;He's one of the heralds of the Shenjiao religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Shenjiao, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Shenjiao religion, and he will defend it at all costs. ;;He's one of the heralds of the Shenjiao religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_benzhujiao;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_benzhujiao_desc;He's one of the heralds of the Benzhujiao religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Benzhujiao, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Benzhujiao religion, and he will defend it at all costs. ;;He's one of the heralds of the Benzhujiao religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_bimojiao;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_bimojiao_desc;He's one of the heralds of the Bimojiao religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Bimojiao, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Bimojiao religion, and he will defend it at all costs. ;;He's one of the heralds of the Bimojiao religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_ua_dab;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_ua_dab_desc;He's one of the heralds of the Ua Dab religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Ua Dab, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Ua Dab religion, and he will defend it at all costs. ;;He's one of the heralds of the Ua Dab religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_nugyauq;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_nugyauq_desc;He's one of the heralds of the Nugyauq religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Nugyauq, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Nugyauq religion, and he will defend it at all costs. ;;He's one of the heralds of the Nugyauq religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_thangiao;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_thangiao_desc;He's one of the heralds of the Thangiao religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Thangiao, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Thangiao religion, and he will defend it at all costs. ;;He's one of the heralds of the Thangiao religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_shingyo;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_shingyo_desc;He's one of the heralds of the Shingyo religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Shingyo, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Shingyo religion, and he will defend it at all costs. ;;He's one of the heralds of the Shingyo religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_nihon_shinto;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_nihon_shinto_desc;He's one of the heralds of the Shinto religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Shinto, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Shinto religion, and he will defend it at all costs. ;;He's one of the heralds of the Shinto religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_ryukyu_shinto;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_ryukyu_shinto_desc;He's one of the heralds of the Koshinto religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Koshinto, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Koshinto religion, and he will defend it at all costs. ;;He's one of the heralds of the Koshinto religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_confucian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_confucian_desc;He's one of the heralds of the Confucian religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Confucian, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Confucian religion, and he will defend it at all costs. ;;He's one of the heralds of the Confucian religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_celtic;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_celtic_desc;He's one of the heralds of the Druidic religion (or its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi druidique (ou de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Druidic religion (or its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Druidic religion (or its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_egyptian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_egyptian_desc;He's one of the heralds of the Kemetic religion (or its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi d'Amon (ou de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Kemetic religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Kemetic religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_luciferian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_luciferian_desc;He's one of the heralds of the Luciferian religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Luciferian, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Luciferian religion, and he will defend it at all costs. ;;He's one of the heralds of the Luciferian religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_hadesian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_hadesian_desc;He's one of the heralds of the Cult of Hades religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Cult of Hades, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Cult of Hades religion, and he will defend it at all costs. ;;He's one of the heralds of the Cult of Hades religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_osirisian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_osirisian_desc;He's one of the heralds of the Cult of Osiris religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Cult of Osiris, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Cult of Osiris religion, and he will defend it at all costs. ;;He's one of the heralds of the Cult of Osiris religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_satanism;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_satanism_desc;He's one of the heralds of the Satanic religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi Satanic, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Satanic religion, and he will defend it at all costs. ;;He's one of the heralds of the Satanic religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_denied;Bad Guardian of the Faith;Gardien de la Foi répudié;Bad Guardian of the Faith;;Bad Guardian of the Faith;;;;;;;;;x
guardian_of_faith_denied_desc;This character has abandoned the principles of his religion, and his co-religionists doubt his ability to protect them …;Ce personnage a abandonné les préceptes de sa religion, et ses coreligionnaires doutent de sa capacité à les protéger... ;This character has abandoned the principles of his religion, and his co-religionists doubt his ability to protect them …;;This character has abandoned the principles of his religion, and his co-religionists doubt his ability to protect them …;;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_CHRISTIAN;Minor Order of the Knights of [This.GetName];Ordre mineur des Chevaliers de [This.GetName];Minor Order of the Knights of [This.GetName];;Minor Order of the Knights of [This.GetName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_JEWISH;Zealots of [This.GetName];Zélotes de [This.GetName];Zealots of [This.GetName];;Zealots of [This.GetName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_MUSLIM;[This.GetAdjective] Brotherhood;Confrérie [This.GetAdjective];[This.GetAdjective] Brotherhood;;[This.GetAdjective] Brotherhood;;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_MAZDAN;Band of Light of [This.GetName];Bande léger de [This.GetName];Band of Light of [This.GetName];;Band of Light of [This.GetName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_PAGAN;Sacred Band of [This.GetName];Bande sacrée de [This.GetName];Sacred Band of [This.GetName];;Sacred Band of [This.GetName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_EASTERN;Celestal Band of [This.GetName];Bande céleste de [This.GetName];Celestal Band of [This.GetName];;Celestal Band of [This.GetName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_ROMAN_EMPIRE;Legio [This.GetName];Legio [This.GetName];Legio [This.GetName];;Legio [This.GetName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_ANCIENT;Venerable Band of [This.GetName];Bande vénérable de [This.GetName];Venerable Band of [This.GetName];;Venerable Band of [This.GetName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_DARK;Dark Band of [This.GetName];Bande foncée de [This.GetName];Dark Band of [This.GetName];;Dark Band of [This.GetName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_CHRISTIAN_UNLANDED;Minor Order of the Knights of St. [Root.GetFirstName];Ordre mineur des Chevaliers de Saint [Root.GetFirstName];Minor Order of the Knights of St. [Root.GetFirstName];;Minor Order of the Knights of St. [Root.GetFirstName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_MUSLIM_UNLANDED;Alrifaq of [Root.GetFirstName];Alrifaq of [Root.GetFirstName];Alrifaq of [Root.GetFirstName];;Alrifaq of [Root.GetFirstName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_PAGAN_UNLANDED;Sacred Band of [Root.GetFirstName];Bande sacrée de [Root.GetFirstName];Sacred Band of [Root.GetFirstName];;Sacred Band of [Root.GetFirstName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_EASTERN_UNLANDED;Celestal Band of [Root.GetFirstName];Bande céleste de [Root.GetFirstName];Celestal Band of [Root.GetFirstName];;Celestal Band of [Root.GetFirstName];;;;;;;;;x
DYNAMIC_HOLY_ORDER_FAITH_DARK_UNLANDED;Dark Band of [Root.GetFirstName];Bande foncée de [Root.GetFirstName];Dark Band of [Root.GetFirstName];;Dark Band of [Root.GetFirstName];;;;;;;;;x
form_new_holy_order_christian;Form a minor Holy Order;Former un nouvel Ordre religieux mineur;Form a minor Holy Order;;Form a minor Holy Order;;;;;;;;;x
form_new_holy_order_christian_desc;This seems to be the good place to bring together some ardent defenders of the faith...;Cet endroit semble parfait pour rassembler des croisés...;This seems to be the good place to bring together some ardent defenders of the faith...;;This seems to be the good place to bring together some ardent defenders of the faith...;;;;;;;;;x
form_new_holy_order_jewish;Form a minor Zealot Order;Former un nouvel Ordre de zélotes;Form a minor Zealot Order;;Form a minor Zealot Order;;;;;;;;;x
form_new_holy_order_jewish_desc;This seems to be the good place to bring together some ardent defenders of the faith...;Cet endroit semble parfait pour rassembler des zélotes...;This seems to be the good place to bring together some ardent defenders of the faith...;;This seems to be the good place to bring together some ardent defenders of the faith...;;;;;;;;;x
form_new_holy_order_muslim;Form a Brotherhood;Former une confrérie;Form a Brotherhood;;Form a Brotherhood;;;;;;;;;x
form_new_holy_order_muslim_desc;This seems to be the good place to bring together some ardent defenders of the faith...;Cet endroit semble parfait pour rassembler des guerriers zélés...;This seems to be the good place to bring together some ardent defenders of the faith...;;This seems to be the good place to bring together some ardent defenders of the faith...;;;;;;;;;x
form_new_holy_order_mazdan;Form a Band of Light;Former une confrérie;Form a Brotherhood;;Form a Brotherhood;;;;;;;;;x
form_new_holy_order_mazdan_desc;This seems to be the good place to bring together some ardent defenders of the faith...;Cet endroit semble parfait pour rassembler des guerriers zélés...;This seems to be the good place to bring together some ardent defenders of the faith...;;This seems to be the good place to bring together some ardent defenders of the faith...;;;;;;;;;x
form_new_holy_order_pagan;Form a Sacred Band;Former une bande sacrée;Form a Sacred Band;;Form a Sacred Band;;;;;;;;;x
form_new_holy_order_pagan_desc;This seems to be the good place to bring together some ardent defenders of the faith...;Cet endroit semble parfait pour rassembler des guerriers zélés...;This seems to be the good place to bring together some ardent defenders of the faith...;;This seems to be the good place to bring together some ardent defenders of the faith...;;;;;;;;;x
form_new_holy_order_eastern;Form a Celestal Band;Former une bande céleste;Form a Celestal Band;;Form a Celestal Band;;;;;;;;;x
form_new_holy_order_eastern_desc;This seems to be the good place to bring together some ardent defenders of the faith...;Cet endroit semble parfait pour rassembler des guerriers zélés...;This seems to be the good place to bring together some ardent defenders of the faith...;;This seems to be the good place to bring together some ardent defenders of the faith...;;;;;;;;;x
form_new_holy_order_ancient;Form a Venerable Band;Former une bande vénérable;Form a Venerable Band;;Form a Venerable Band;;;;;;;;;x
form_new_holy_order_ancient_desc;This seems to be the good place to bring together some ardent defenders of the faith...;Cet endroit semble parfait pour rassembler des guerriers zélés...;This seems to be the good place to bring together some ardent defenders of the faith...;;This seems to be the good place to bring together some ardent defenders of the faith...;;;;;;;;;x
form_new_holy_order_dark;Form a Dark Band;Former une bande foncée;Form a Dark Band;;Form a Dark Band;;;;;;;;;x
form_new_holy_order_dark_desc;This seems to be the good place to bring together some ardent defenders of the faith...;Cet endroit semble parfait pour rassembler des guerriers zélés...;This seems to be the good place to bring together some ardent defenders of the faith...;;This seems to be the good place to bring together some ardent defenders of the faith...;;;;;;;;;x
form_new_holy_order_roman_empire;Form a Legion;Etablir une légion;Form a Legion;;Form a Legion;;;;;;;;;x
form_new_holy_order_roman_empire_desc;This place seems to be the best one to establish a legion as before…;Cet endroit semble idéal pour établir une légion comme celles d'autrefois… ;This place seems to be the best one to establish a legion as before…;;This place seems to be the best one to establish a legion as before…;;;;;;;;;x
proclaim_yourself_guardian_of_faith;Proclaim yourself as a Guardian of Faith;Vous proclamer Gardien de la Foi;Proclaim yourself as a Guardian of Faith;;Proclaim yourself as a Guardian of Faith;;;;;;;;;x
proclaim_yourself_guardian_of_faith_desc;You can use your status as head of your religion to proclaim yourself as a Guardian of Faith.;Vous pouvez vous servir de votre statut de chef religieux pour vour proclamer Gardien de la Foi. ;You can use your status as head of your religion to proclaim yourself as a Guardian of Faith.;;You can use your status as head of your religion to proclaim yourself as a Guardian of Faith.;;;;;;;;;x
the_first_guardian_of_faith;This bloodline is allowed to form §GNew Holy Orders§;Cette lignée peut former de nouveaux §Gordres religieux§;This bloodline is allowed to form §GNew Holy Orders§;;This bloodline is allowed to form §GNew Holy Orders§;;;;;;;;;x
the_restorer_of_the_legions;This bloodline is allowed to form §GImperial Legions§  §W(if the character leads§  §YThe Roman Empire§  §Wand is§  §YRoman§ §W)§;Cette lignée peut former des §GLégions Impériales§ §W(si le personnage dirige§  §YL'Empire Romain§  §Wet s'il est§  §YRomain§ §W)§;This bloodline is allowed to form §GImperial Legions§  §W(if the character leads§  §YThe Roman Empire§  §Wand is§  §YRoman§ §W)§;;This bloodline is allowed to form §GImperial Legions§  §W(if the character leads§  §YThe Roman Empire§  §Wand is§  §YRoman§ §W)§;;;;;;;;;x
first_guardian_of_faith_catholic;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_catholic_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_orthodox;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_orthodox_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_miaphysite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_miaphysite_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_nestorian;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_nestorian_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_syriac;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_syriac_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_maronite;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_maronite_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_apostolic;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
first_guardian_of_faith_apostolic_desc;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;Cette lignée est issue du Premier Gardien de la Foi, qui fut un des premiers à institutionnaliser sa religion, permettant l'essor de sa foi à travers le monde connu.;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;This lineage stems from the First Guardian of the Faith, who was one of the first to institutionalize his religion, allowing his faith to flourish throughout the known world.;;;;;;;;;x
first_guardian_of_faith_chalcedonian;Blood of the First Guardian of the Faith;Lignée du premier Gardien de la Foi;Blood of the First Guardian of the Faith;;Blood of the First Guardian of the Faith;;;;;;;;;x
